idx,id,stratum,source_entity,target_entity,qual_score,independent_sources,evidence_excerpt,core120b_decision,core120b_conf,core120b_rationale,slm8b_decision,slm8b_conf,slm8b_rationale,nemotron_decision,nemotron_conf,nemotron_rationale,gptoss_decision,gptoss_conf,gptoss_rationale
10,a3075251-62f9-4fea-8556-9df780aadf7a,S0_floor,HIMARS,Iranshahr,0.0669,1,"📄 **IRGC strikes US command center in Syria, depots in Kuwait, radars in Oman** 📌 Tehran, IRNA – The Islamic Revolution Guards Corps (IRGC) has launched a sweeping wave of retaliatory strikes across West Asia, targeting a US special operations command center in Syria, American weapons depots and lau",REJECT,,No link between weapon system and city.,REJECT,,No direct relationship between HIMARS and Iranshahr,REJECT,,No meaningful relationship between HIMARS and Iranshahr,REJECT,,No evidence linking HIMARS to Iranshahr.
11,ad807d95-3d66-4a70-8dc2-6f470f09b273,S0_floor,Geoffrey Watson SC,Labor,0.1253,1,"‘Nobody from the Labor party has contacted me’ about $15bn CFMEU corruption claim, expert says — <p>Geoffrey Watson criticises Victorian government as union administrator warns of ongoing criminality on construction sites</p><ul><li><p><a href=""https://www.theguardian.com/australia-news/live/2026/ju",REJECT,,No substantive connection beyond quoted comment.,REJECT,,Geoffrey Watson SC and Labor are unrelated entities,AffiliatedWith,0.75,Watson criticized Labor party,HostileTo,0.7,Watson publicly criticises Labor party.
12,b8c1f7e1-8518-4b01-9662-c4e16cece137,S0_floor,Bulgaria,Carter,0.1476,1,"🧸👋 **#OTD**** 46 years ago, **[**the Moscow 1980 Olympic Games**](https://www.olympics.com/en/olympic-games/moscow-1980)** came to a spectacular and deeply moving close.** From July 19 to August 3, the Soviet capital welcomed **more than 5,000 athletes **representing** 80 nations.** They competed fo",REJECT,,No substantive link between Bulgaria and Carter.,REJECT,,No meaningful relationship found between Bulgaria and Carter.,REJECT,,"Bulgaria and Carter co-mentioned only in Olympic context, no relationship indicated",REJECT,,No evidence of relationship between Bulgaria and Carter.
13,c063188e-6aa2-453b-887a-dbeee45dcb3d,S0_floor,Moscow,the Moscow Plant,0.0223,1,"**Около 180 дронов атаковали Москву. Загорелся НПЗ, ТЦ «Садовод» и жилые дома, из Шереметьево эвакуировали пассажиров** Ночью Москва и Подмосковье подверглись крупной атаке беспилотников. На подлете к столице силы ПВО сбили около 180 дронов, отражение атаки продолжается, [сообщил](https://t.me/mos_s",REJECT,,Moscow and the Moscow Plant only co-mentioned in attack report.,LocatedIn,0.85,The Moscow Plant is located in Moscow.,LocatedIn,0.85,Moscow Plant is a facility located in Moscow per evidence,LocatedIn,0.6,"Plant attacked in Moscow, indicating location."
14,e8f50044-b951-4da2-8172-028519e8becc,S0_floor,Dur - Untash,Susa,0.1123,1,"Tchogha Zanbil, Iran’s first UNESCO World Heritage site — TEHRAN - Situated about 40 km southeast of UNESCO-listed Susa, Tchogha Zanbil preserves the remains of Dur-Untash, a religious city founded in the 13th century BC by the Elamite king Untash-Napirisha. At its center stands a monumental ziggura",LocatedIn,0.9,Dur-Untash lies ~40 km southeast of Susa.,LocatedIn,0.85,Dur-Untash is located near Susa.,LocatedIn,0.85,Dur-Untash is situated about 40 km southeast of Susa per evidence,LocatedIn,0.6,Dur-Untash described as near Susa.
15,0f064be1-5930-48cb-946b-d262ac717b66,S1_low,Araghchi,the Council of Foreign Ministers,0.1607,1,"**Any country that takes part in the US aggression against Iran or facilitates strikes on the Islamic Republic will be considered a legitimate military target**, Iran’s Foreign Minister Abbas Araghchi said at a meeting of the Council of Foreign Ministers of the Shanghai Cooperation Organization (SCO",MemberOf,0.9,Araghchi spoke at Council of Foreign Ministers meeting.,REJECT,,No meaningful relationship found between Araghchi and the Council of Foreign Ministers.,AffiliatedWith,0.85,Araghchi spoke at a meeting of the Council of Foreign Ministers per evidence,MemberOf,0.6,"Araghchi spoke at council meeting, indicating membership."
16,1bc8779c-5c52-4d33-8a54-d60e938dd07a,S1_low,Caspian,Europe,0.2207,1,"Azerbaijani pipelines act as critical 'arteries' linking Caspian gas to Europe, says SOCAR Executive — In an interview with Euronews, SOCAR energy executives discussed Azerbaijan’s expanding role in European energy security, following a 56 per cent increase in natural gas exports to the EU since 202",InvolvedIn,0.85,Caspian gas pipelines supply Europe.,REJECT,,Azerbaijani pipelines link Caspian gas to Europe.,SuppliesWeaponsTo,0.6,Caspian gas supplies Europe via Azerbaijani pipelines per evidence,REJECT,,No allowed relationship type for gas supply.
17,26974b1d-0de4-40db-9db9-991901b3e4e2,S1_low,Israel,the Brandenburg Gate,0.1853,1,"▶️ **Hundreds of people ignored rain and rallied near the Brandenburg Gate for peace and diplomacy and against the supply of weapons and further support to Ukraine, a TASS correspondent reports.** The demonstrators advocate an unconditional cessation of any arms exports, oppose arms supplies to Ukra",REJECT,,Israel only mentioned in protest at Brandenburg Gate.,REJECT,,No meaningful relationship found between Israel and the Brandenburg Gate.,CoOccursWith,0.6,Israel mentioned in context of rally near Brandenburg Gate per evidence,REJECT,,"Only protest location, no direct Israel‑Gate link."
18,2ff318b3-fc62-4266-bb9e-0422add74cc0,S1_low,Mikhail Fyodorov,Russian Foreign Ministry,0.1671,1,"The situation surrounding rallies in Ukraine triggered by the dismissal of Defense Minister Mikhail Fyodorov has demonstrated how easily those who are behind the ex-minister can organize street protests, Russian Foreign Ministry’s Ambassador at Large Rodion Miroshnik said. “They have demonstrated th",REJECT,,No direct link between Fyodorov and Russian Foreign Ministry.,REJECT,,No meaningful relationship found between Mikhail Fyodorov and the Russian Foreign Ministry.,AffiliatedWith,0.6,Russian Foreign Ministry’s Ambassador commented on Fyodorov per evidence,InvolvedIn,0.6,Ministry comments on Fyodorov‑related protests.
19,33d541f2-e058-4a9f-867b-96b2a636bb47,S1_low,Claudia Sheinbaum,Mark Carney,0.1699,1,"#InPhotos | World leaders unite on football's biggest stage! U.S. President Donald Trump, Canadian Prime Minister Mark Carney, Mexican President Claudia Sheinbaum, and FIFA President Gianni Infantino come together at the 2026 FIFA World Cup, celebrating the global spirit of the beautiful game. Stay ",REJECT,,Sheinbaum and Carney only co-appear in photo.,REJECT,,No meaningful relationship found between Claudia Sheinbaum and Mark Carney.,CoOccursWith,0.6,Both leaders co-mentioned at 2026 FIFA World Cup event per evidence,REJECT,,"Co‑appearance at event, no substantive link."
20,3c7de674-5e89-4ddd-9d0b-e1f96f0a2562,S1_low,Crimea,the Russian Defense Ministry,0.1698,1,"**За ночь над российскими регионами и аннексированным Крымом сбили 571 украинский беспилотник ** Такие данные приводит Минобороны РФ. Беспилотники уничтожили над 15 регионами, Крымом, а также акваториями Азовского и Черного море. @meduzalive co_mentioned: Overnight, Russia, Ukraine",InvolvedIn,0.9,Ministry reports drone activity over Crimea.,REJECT,,The Russian Defense Ministry operates in Crimea.,PartOf,0.85,Russian Defense Ministry reported intercepting drones over Crimea per evidence,InvolvedIn,0.6,Ministry reports drone activity over Crimea.
21,3d961c22-db8d-46bf-a833-6777d351a64a,S1_low,Israel,"the "" Committee of Political Inquiry",0.1723,1,"اتهامات بـ""دفن الحقيقة"".. تحقيق 7 أكتوبر يتحول لمعركة انتخابية بإسرائيل — صادق الكنيست بالقراءة الأولى على &quot;لجنة تحقيق سياسية&quot; في أحداث 7 أكتوبر/تشرين الأول وسط مقاطعة المعارضة، مما حوّل ملف المحاسبة وكشف الحقيقة إلى معركة انتخابية مبكرة واستفتاء شعبي على المسؤولية السياسية. co_mentioned: ",AffiliatedWith,0.85,Committee operates within Israeli political system.,REJECT,,No meaningful relationship found between Israel and the Committee of Political Inquiry.,AffiliatedWith,0.85,Israel's Knesset established the Committee of Political Inquiry per evidence,AffiliatedWith,0.6,"Committee is Israeli Knesset body, affiliated with state."
22,44d6057e-49aa-4403-a178-1b3807e18dd5,S1_low,The UK Labour Party,United States,0.1723,1,"**Russian Press Review, June 23:** The UK Labour Party is weighing a candidate for a new leader after Prime Minister Keir Starmer’s resignation; the US is reshaping the global oil market to its liking; and glorifying Nazism could cost Ukraine Poland’s military support. These stories [topped Tuesday’",REJECT,,"Labour Party and US only mentioned together, no link.",REJECT,,No meaningful relationship found between the UK Labour Party and the United States.,REJECT,,"UK Labour Party and US co-mentioned in press review, no direct relationship indicated",REJECT,,No direct relationship indicated.
23,56631676-6a58-4b83-a873-67567b503d28,S1_low,Serhii Korovayny,Ukraine,0.1853,1,"Тато – це про захист і безпеку. І сьогодні це набуло ще глибшого змісту, бо українські батьки захищають не лише своїх дітей, а й саму можливість безпечного майбутнього. Бути татом в Україні сьогодні – це особлива мужність і особлива любов. Дякуємо всім українським татам за турботу і силу. Всім, хто ",MemberOf,0.7,Korovayny identified as Ukrainian individual.,LeaderOf,0.85,Serhii Korovayny is a Ukrainian.,AffiliatedWith,0.85,Serhii Korovayny described as a Ukrainian father defending Ukraine per evidence,REJECT,,"Text praises Ukrainian fathers, no link to Korovayny."
24,570f7fa2-2821-4327-954a-66eccaa2923c,S1_low,Argentina,hamm,0.1723,1,"Oil billionaire Hamm seeks to expand in Argentina’s shale patch — <p><img alt=""Harold Hamm, Continental STOCK"" src=""https://fotos.perfil.com/2025/11/18/trim/540/304/harold-hamm-continental-stock-2139291.jpg"" /></p>US shale pioneer Harold Hamm is moving to expand his footprint in Argentina’s Vaca Mue",OperatesIn,0.7,Hamm expanding oil operations into Argentina,OperatesIn,0.85,Hamm seeks to expand in Argentina's shale patch,OperatesIn,0.85,Harold Hamm seeks to expand his footprint in Argentina's Vaca Muerta oil basin.,OperatesIn,0.6,Hamm plans to expand oil operations in Argentina’s Vaca Muerta.
25,5fd80e12-1679-4114-a849-192fefb771e7,S1_low,News Domodedovo,Ukraine,0.1723,1,**В реку под Москвой после удара по складу WB попали химикаты. Жители жалуются на сильный запах и тонны мертвой рыбы** В начале августа жители микрорайона Белые Столбы и Краснопутьского округа в Московской области стали массово жаловаться в соцсетях на грязную воду и сильный неприятный запах. Они пр,REJECT,,No substantive link beyond co‑mention,REJECT,,"News Domodedovo is located in Moscow, not Ukraine",REJECT,,No meaningful relationship; co-mention based on unrelated topics.,REJECT,,No direct link between News Domodedovo and Ukraine.
26,68e74cdf-c540-4c12-9220-250aa6b86f89,S1_low,Iraq,Military,0.1972,1,"US soldier killed in Iraq during disposal of downed Iranian drone, CENTCOM says — Military also says unidentified remains found in Jordan after attack that killed two US service members and left one missing co_mentioned: CENTCOM, Jordan, United States",InvolvedIn,0.6,US military activity reported within Iraq,REJECT,,US soldier killed in Iraq during disposal of downed Iranian drone,HostileTo,0.65,US soldier killed during disposal of downed Iranian drone in Iraq.,REJECT,,Evidence does not define a clear Iraq‑Military relationship.
27,6aed1020-16b4-43d2-941b-60e842de4147,S1_low,& quot;America 250,United States,0.1723,1,من احتفال وطني إلى طابع شخصي.. ترمب يهيمن على الذكرى الـ250 لأمريكا — تحدثت صحيفتان أمريكيتان عن صراع غير مباشر بين المخططين الرسميين للاحتفال، المتمثلين في لجنة &quot;أمريكا 250&quot; المدعومة من الكونغرس، وبين مبادرة منافسة مرتبطة بإدارة الرئيس دونالد ترمب تحت اسم &quot;فريدوم 250&quot;. co_mentio,PartOf,0.7,Committee operates under US congressional framework,REJECT,,"The entities are mentioned in the context of a celebration, not a relationship",PartOf,0.8,"""America 250"" is a congressional committee supporting the U.S. 250th anniversary.",AffiliatedWith,0.6,America 250 committee supported by US Congress.
28,6da848cd-ca34-47b3-9d98-5e83740b8e62,S1_low,Glen Canyon,United States,0.2325,1,"Lake Powell and Lake Mead are both running dangerously low, and scientists now say one radical idea could help: drain most of Lake Powell and store the water in Lake Mead instead — <img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/132284490.cms"" style=""margin-to",LocatedIn,0.9,Glen Canyon is a US national park,REJECT,,"The entities are mentioned in the context of a proposal for water management, not a relationship",LocatedIn,0.9,"Lake Powell, part of Glen Canyon, is located within the United States.",LocatedIn,0.9,Glen Canyon is a US national park.
29,73bf19ac-c8ec-4f4a-bf59-62597c860a0b,S1_low,Austro,France,0.1723,1,"🗓 On August 1, our country marks **the Day of Remembrance of the Russian soldiers who died in the World War I**. On that day in 1914, Germany declared war on the Russian Empire and on the following day invaded its territory. This made our country became a participant in the largest and bloodiest arm",REJECT,,Austro not linked to France in evidence,REJECT,,"France is not located in Russia, but rather has a border with it",REJECT,,No meaningful relationship; co-mention based on unrelated historical context.,REJECT,,No substantive link between Austro and France.
30,79514da3-f489-4b93-a6e2-5d7a093b168e,S1_low,Edi Rama,United States,0.2076,1,"Albanian PM defends €4 million Kanye West concert — Albania doubled down on hosting US rapper Kanye ⁠West, as several European countries have banned his performance. PM Edi Rama claimed the gig would generate €100 million in revenue for the country. co_mentioned: Albania, Kanye West",REJECT,,Edi Rama’s comment unrelated to US,REJECT,,"Albania is hosting a US rapper, Kanye West",AffiliatedWith,0.7,Albanian PM Edi Rama defended hosting US rapper Kanye West in Albania.,REJECT,,Edi Rama’s comment does not create a direct US relationship.
31,7f06a0e1-a5fa-4179-b17a-73e420794135,S1_low,Gaza,Ishaq Dar,0.2015,1,"Pakistan, Egypt condemn Israeli military actions in Gaza, occupied West Bank — Foreign ministers Ishaq Dar and Badr Abdelatty call for immediate end to hostilities during phone conversation co_mentioned: Badr Abdelatty, Egypt, Israel, Pakistan, West Bank",REJECT,,"Ishaq Dar mentioned in Gaza context, no direct link",REJECT,,Pakistan is condemning Israeli military actions in Gaza,InvolvedIn,0.75,Pakistani Foreign Minister Ishaq Dar condemned Israeli actions in Gaza.,InvolvedIn,0.6,Dar called for end of hostilities in Gaza.
32,8d2ea73c-d0a5-4a25-8eb5-0fe959585249,S1_low,Balogun,IOC,0.1994,1,"World Cup: IOC says won't ask FIFA chief to explain Balogun red card controversy — IOC member and FIFA leader Gianni Infantino will not have to explain to the Olympic body how U.S. President Donald Trump helped to stop a player’s ban at the World Cup co_mentioned: Donald Trump, FIFA, Gianni Infantin",InvolvedIn,0.6,Balogun controversy noted by IOC,REJECT,,The IOC is not asking FIFA to explain the Balogun red card controversy,AffiliatedWith,0.6,Balogun is a player involved in a World Cup incident discussed by IOC and FIFA.,InvolvedIn,0.6,Balogun red‑card controversy discussed by IOC.
33,934e8fb2-cb69-4743-a2c2-63c7e9bd1f35,S1_low,LA 2028,United Kingdom,0.1723,1,"British Paralympic great Storey retires, ends hopes of LA 2028 bid co_mentioned: Paralympic, Storey",REJECT,,LA 2028 bid mention not a UK relationship,REJECT,,"The British Paralympic great Storey is retiring, not related to the LA 2028 bid",AffiliatedWith,0.55,British Paralympic great Storey's retirement affects hopes for LA 2028 bid.,REJECT,,LA 2028 bid unrelated to United Kingdom.
34,9c6935ab-1086-418a-88b4-7bceb10ee797,S1_low,Donald Trump,Nazis,0.1847,1,"Russia doesn’t refuse from talks on Ukraine but set forth its conditions — Kremlin aide — Nikolay Patrushev added that while US President Donald Trump and the US want to settle the Ukrainian issue politically and diplomatically, European Nazis spare no effort not to let this happen co_mentioned: Eur",HostileTo,0.6,Nazis described as opposing Trump,REJECT,,European Nazis are trying to prevent a political and diplomatic settlement of the Ukrainian issue,HostileTo,0.4,Trump accused of enabling European Nazis to block Ukraine talks.,HostileTo,0.6,Nazis oppose Trump’s diplomatic efforts on Ukraine.
35,ce1c1c97-c4a5-468b-8ba4-6353a8f5c50d,S1_low,A-400,France,0.1723,1,"من مدارج الجيش إلى جبهة الحرائق.. أول تحليق لـ""إيه-400 إم"" لمكافحة النيران بفرنسا — استخدمت السلطات الفرنسية، أمس السبت، الطائرة العسكرية &quot;إيه-400 إم&quot; لأول مرة في مكافحة الحرائق، ملقية 20 طنا من مثبط النيران لتأمين مناطق انتشار الحرائق في جيروند جنوب غربي البلاد. co_mentioned: A-400 M, Gir",InvolvedIn,0.7,France used A‑400 for firefighting,REJECT,,France is using the A-400 M to combat fires,OperatesIn,0.85,French authorities used the A-400M military aircraft for firefighting in Gironde.,OperatesIn,0.9,A‑400 used by France for firefighting.
36,de6dceaa-8ade-4dd1-b6c5-09c135542533,S1_low,Transportation Department,United States,0.1723,1,"Transportation Department wants veterans to become truck drivers — <p>The “Freedom Hauler” campaign seeks to get veterans who drove heavy vehicles in the military to haul freight.</p> <p>The post <a href=""https://taskandpurpose.com/field-guide/veterans-truck-drivers-campaign/"">Transportation Departm",PartOf,0.78,US DOT is a federal agency within the United States.,REJECT,,Veterans truck driver campaign,PartOf,0.95,Transportation Department is a component of the United States government.,LocatedIn,0.6,US agency operates within United States
37,ed4e5174-c108-48fc-9633-ee260ff9847e,S1_low,Indonesia,the European - Mediterranean Seismological Center,0.15,1,"▶️** A magnitude 6.7 earthquake struck off the coast of Indonesia, **the European-Mediterranean Seismological Center reported. The epicenter was located 46 kilometers southeast of the city of Palu on Sulawesi Island, home to about 282,000 people. The quake occurred at a depth of 10 kilometers. Video",REJECT,,Only co-mentioned as earthquake reporter.,REJECT,,Earthquake struck off Indonesia's coast,LocatedIn,0.85,The European-Mediterranean Seismological Center reported an earthquake off Indonesia's coast.,REJECT,,Only co-mentioned in earthquake report
38,f8107e21-5cfa-402c-b13f-b1a221fd16f5,S1_low,Negeri Sembilan,Pakatan Harapan,0.1725,1,"Commentary: With PH’s Negeri Sembilan defeat, PM Anwar is running out of states and time — Prime Minister Anwar Ibrahim’s Pakatan Harapan coalition losing in the latest state polls is not an isolated incident. It is the third and most devastating strike in a series that has transformed the political",REJECT,,"Mentioned in election context, no direct affiliation.",MemberOf,0.85,Negeri Sembilan defeat in state polls,REJECT,,Co-mention in political commentary does not establish a direct relationship.,REJECT,,State and coalition only co-occur in election context
39,ff602817-3ae6-4802-8adc-7c8c4537a8a9,S1_low,Israel,Maron al -,0.1723,1,"تمركز مؤقت أم وجود ممتد؟.. صور فضائية تكشف موقعا إسرائيليا جديدا في مارون الراس جنوبي لبنان — يكشف تحليل صور أقمار صناعية حديثة عن إنشاء موقع تمركز عسكري إسرائيلي جديد في محيط بلدة مارون الراس، على عمق نحو كيلومترين داخل الأراضي اللبنانية. co_mentioned: Lebanon, Maron al - Rass",HostileTo,0.86,"Israel established new military site in Maron al‑Rass, Lebanon.",LocatedIn,0.85,New Israeli military site in Lebanon,LocatedIn,0.8,Israel established a military site near Maron al-Rass in Lebanese territory.,OperatesIn,0.7,Satellite images show Israeli site in Lebanese area
40,01d4fdd2-c9ed-487c-9aaa-e794e6709e55,S2_mid,Czechia,Hornicek,0.3853,2,"Newcastle Sign Czech Goalkeeper Hornicek from Braga co_mentioned: Braga, Newcastle",REJECT,,"Sports mention, no substantive link.",REJECT,,Newcastle signs Hornicek from Braga,AffiliatedWith,0.75,"Hornicek is a Czech goalkeeper employed by Braga and Newcastle, indicating national affiliation.",AffiliatedWith,0.6,Hornicek identified as Czech goalkeeper
41,0a1fd942-6f43-480e-809a-ea8a215c728a,S2_mid,Argentina,Maria Zakharova,0.3118,1,"**❗️****TASS News Roundup, July 21: ** ▪️Sergey Lavrov has arrived in the Philippines, where he will take part in events hosted by the Association of Southeast Asian Nations ▪️The United States intends to strike at Iran's alleged new nuclear facility, Donald Trump said ▪️Russian security officers ha",REJECT,,"Roundup lists both, no direct interaction.",REJECT,,No meaningful relationship between Argentina and Maria Zakharova,REJECT,,No evidence links Argentina to Maria Zakharova; co-mention in TASS roundup is incidental.,REJECT,,No link between Argentina and Zakharova
42,0c797c54-c022-4028-8a09-44e0019242c9,S2_mid,Australia,TASS,0.3484,1,"**The US-Iran conflict has not led to fundamental changes in the global strategic balance and the situation may return to its prior condition in the next 60 days**, Jane Hardy, an Australian diplomat and foreign policy expert, told TASS. Hardy noted that the start of US-Iran negotiations has contrib",REJECT,,"Diplomat quoted to TASS, not a structural relationship.",REJECT,,Australian diplomat quotes TASS,InvolvedIn,0.7,Australian diplomat Jane Hardy spoke to TASS about US-Iran conflict.,ConductedVia,0.6,Australian diplomat gave statements to TASS
43,19c8b56c-66cf-49f0-ac64-9a7087592956,S2_mid,UN Women,United Nations,0.3946,2,"Bachelet places fourth in first Security Council straw poll ahead of Uruguay debate — <p> <img alt=""Bachelet, 74, a former executive director of UN Women and former high commissioner for human rights, faces an unusual situation: her candidacy lacks the backing of her own country&#039;s government"" h",PartOf,0.9,UN Women is an entity within the United Nations.,PartOf,0.85,Bachelet's candidacy for UN Secretary-General,PartOf,0.9,UN Women is a unit of the United Nations system.,PartOf,0.9,UN Women is UN entity
44,233da665-1ff3-4cc0-a448-bdda5836cf45,S2_mid,Africa,Defense,0.3185,1,"Pentagon nominates Lt. Gen. Admiral to command US Army Europe and Africa — Lt. Gen. Kevin D. Admiral, who currently serves as the commander of III Corps and Fort Hood, Texas, was nominated to take over the top job on Thursday. co_mentioned: Admiral, Allied Land Command, Christopher Donahue, Christop",REJECT,,Only co-mentioned in article title.,PartOf,0.85,Pentagon nominates Lt. Gen. Admiral to command US Army Europe and Africa,LocatedIn,0.6,"Pentagon nominated a commander for US Army Europe and Africa, indicating defense responsibility.",REJECT,,Africa and Defense only co-mentioned
45,2407a6f9-0f23-4ada-bd36-1c9ab4c64e7d,S2_mid,Germany,Jewish,0.3063,1,"How a Jewish heir is taking on Germany's far-right AfD — Heavily supported in eastern states, the Alternative for Germany is using a GDR cultural icon, the Schwalbe moped, in its campaigning. Now, the Jewish heir of the manufacturer is fighting to protect his family's legacy. co_mentioned: AfD, Alte",REJECT,,"Article discusses Jewish heir, not a direct Germany‑Jewish link.",REJECT,,Jewish heir fighting to protect family legacy in Germany,AffiliatedWith,0.65,Jewish heir opposing AfD indicates a societal-affiliation relationship in Germany.,REJECT,,Germany and Jewish only co-occur in article
